split,ablation,description,intervention,feature_group,n_features_changed,qwk,delta_qwk_vs_full,accuracy,delta_accuracy_vs_full,f1_macro,auc_macro
test,full,Original images + original 50-dim feature vector,none,all,0,0.8360726922783526,0.0,0.6624396135265701,0.0,0.6647414306244448,0.90178885046088
test,zero_all,Images + feature vector replaced by post-normalization zeros,zero,all,50,0.74534668596531,-0.09072600631304262,0.5615942028985508,-0.10084541062801933,0.3978412668030522,0.854308388644256
test,permute_all,Images + feature vector permuted across samples,permute,all,50,0.5593385284890193,-0.27673416378933324,0.5,-0.1624396135265701,0.3760575062423994,0.7685457426639762
test,zero_jsn,Images + JSN dimensions zeroed,zero,jsn,22,0.7409610455715627,-0.09511164670678984,0.5652173913043478,-0.09722222222222232,0.4047528854595101,0.8537803612771013
test,permute_jsn,Images + JSN dimensions permuted,permute,jsn,22,0.5850544553247568,-0.2510182369535958,0.48731884057971014,-0.17512077294685996,0.3620579589404912,0.7672362170890038
test,zero_osteophyte,Images + osteophyte dimensions zeroed,zero,osteophyte,10,0.8391855642448879,0.0031128719665353133,0.6624396135265701,0.0,0.6753513399591252,0.9023929456861344
test,permute_osteophyte,Images + osteophyte dimensions permuted,permute,osteophyte,10,0.8358929891727216,-0.00017970310563097946,0.6570048309178744,-0.005434782608695676,0.6678441879651305,0.8999031638314158
test,zero_sclerosis,Images + sclerosis dimensions zeroed,zero,sclerosis,18,0.8345793885253517,-0.0014933037530008297,0.6606280193236715,-0.0018115942028985588,0.665254379831945,0.899465207797806
test,permute_sclerosis,Images + sclerosis dimensions permuted,permute,sclerosis,18,0.8342663919051558,-0.0018063003731967342,0.6551932367149759,-0.007246376811594235,0.6601431249609295,0.8971407518110658
